date,geoRegion,ICU_AllPatients,ICU_Covid19Patients
2021-08-22,AG,39,14
2021-08-22,AR,4,2
2021-08-22,BE,60,15
2021-08-22,BL,7,4
2021-08-22,BS,28,10
2021-08-22,FR,17,2
2021-08-22,GE,37,12
2021-08-22,GL,5,1
2021-08-22,GR,14,6
2021-08-22,JU,5,2
2021-08-22,LU,43,9
2021-08-22,NE,6,1
2021-08-22,NW,3,2
2021-08-22,OW,0,0
2021-08-22,SG,36,14
2021-08-22,SH,5,4
2021-08-22,SO,14,4
2021-08-22,SZ,6,4
2021-08-22,TG,22,9
2021-08-22,TI,28,3
2021-08-22,UR,2,2
2021-08-22,VD,67,24
2021-08-22,VS,17,3
2021-08-22,ZG,5,2
2021-08-22,ZH,156,46
